行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润,发货时长_天,年份,月份,季度,星期,利润率,是否亏损,平均单价
16,US-202022-2511714,2023-11-22,2023-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",10336.452,7,0.4,-3962.728,3,2023,11,4,2,-0.3833741016743463,1,1476.636
17,US-202022-2511714,2023-11-22,2023-11-25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,"Novimex 圆形标签, 红色",85.25999999999999,3,0.0,38.22,3,2023,11,4,2,0.4482758620689655,0,28.419999999999998
18,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.14,2,2024,10,4,2,0.4596299411269975,0,332.92
19,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.94,2,2024,10,4,2,0.27986906710310966,0,85.54
20,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1,2,2024,10,4,2,0.015228426395939087,0,27.580000000000002
21,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84,2,2024,10,4,2,0.3192389006342495,0,66.22
22,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.42,2,2024,10,4,2,0.44970142397795126,0,304.78000000000003
23,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-复印-10002045,技术,复印机,"Hewlett 传真机, 数字化",4473.84,3,0.0,1162.98,2,2024,10,4,2,0.25995118287645513,0,1491.28
24,CN-202023-5631342,2024-10-02,2024-10-04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10004353,办公用品,用品,"Elite 开信刀, 工业",269.92,2,0.0,118.72,2,2024,10,4,2,0.43983402489626555,0,134.96
25,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-书架-10004730,家具,书架,"Sauder 书架, 金属",1638.336,4,0.4,-464.4639999999999,7,2023,6,2,2,-0.28349740224227504,1,409.584
26,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-椅子-10002386,家具,椅子,"Office Star 摇椅, 可调",1204.56,3,0.4,60.05999999999995,7,2023,6,2,2,0.04986052998605296,0,401.52
27,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003889,办公用品,系固件,"OIC 图钉, 金属",198.66,5,0.4,-16.94000000000001,7,2023,6,2,2,-0.0852713178294574,1,39.732
28,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003118,办公用品,系固件,"Accos 图钉, 混合尺寸",249.312,8,0.4,-58.688,7,2023,6,2,2,-0.23539982030548068,1,31.164
29,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",389.088,6,0.4,-182.1120000000001,7,2023,6,2,2,-0.4680483592400693,1,64.848
30,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,技术-配件-10003585,技术,配件,"罗技 路由器, 实惠",692.4959999999999,1,0.4,-34.66399999999999,7,2023,6,2,2,-0.050056606825165766,1,692.4959999999999
31,US-202022-4150614,2023-06-07,2023-06-14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-用具-10001174,家具,用具,"Tenex 灯泡, 黑色",106.008,2,0.4,-9.071999999999989,7,2023,6,2,2,-0.0855784469096671,1,53.004
32,CN-202023-4364300,2024-12-12,2024-12-15,二级,马丽-15910,马丽,消费者,上海,上海,中国,华东,办公用-装订-10004816,办公用品,装订机,"Wilson Jones 标签, 回收",158.9,5,0.0,72.8,3,2024,12,4,3,0.45814977973568277,0,31.78
33,CN-202023-3230180,2024-09-28,2024-10-02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,办公用-收纳-10001942,办公用品,收纳具,"Fellowes 文件车, 金属",1272.88,2,0.0,585.48,4,2024,9,3,5,0.4599648042234932,0,636.44
34,CN-202023-3230180,2024-09-28,2024-10-02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,家具-椅子-10000374,家具,椅子,"Harbour Creations 椅垫, 可调",1738.1,5,0.0,799.4,4,2024,9,3,5,0.4599275070479259,0,347.62
35,US-202022-1966627,2023-11-19,2023-11-23,标准级,巩虢-13495,巩虢,公司,宁波,浙江,中国,华东,家具-书架-10002226,家具,书架,"Dania 书架, 白色",1390.032,4,0.4,-486.528,4,2023,11,4,6,-0.35001208605269524,1,347.508
36,CN-202022-1190387,2023-02-28,2023-03-01,一级,常松-20575,常松,消费者,上海,上海,中国,华东,家具-用具-10002645,家具,用具,"Advantus 灯泡, 耐用",398.9999999999999,5,0.0,0.0,1,2023,2,1,1,0.0,0,79.79999999999998
37,CN-202022-3216455,2023-09-03,2023-09-06,二级,田黎-16450,田黎明,公司,厦门,福建,中国,华东,办公用-美术-10001683,办公用品,美术,"Boston 画布, 蓝色",250.32,1,0.0,32.48,3,2023,9,3,6,0.1297539149888143,0,250.32
38,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-纸张-10003357,办公用品,纸张,"Green Bar 笔记本, 优质",834.1199999999999,6,0.0,399.84,4,2023,9,3,6,0.47935548841893255,0,139.01999999999998
39,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-收纳-10002029,办公用品,收纳具,"Smead 盘, 工业",228.48,1,0.0,77.56,4,2023,9,3,6,0.3394607843137255,0,228.48
40,CN-202022-4690757,2023-09-17,2023-09-21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,家具-桌子-10001094,家具,桌子,"Lesro 培训桌, 长方形",932.295,1,0.25,-211.365,4,2023,9,3,6,-0.22671472012614036,1,932.295
41,CN-202022-4674220,2023-07-02,2023-07-05,一级,徐岱-11875,徐岱,公司,兰州,甘肃,中国,西北,办公用-纸张-10002597,办公用品,纸张,"SanDisk 羊皮纸, 每包 12 个",291.9,3,0.0,107.94,3,2023,7,3,6,0.3697841726618705,0,97.3
42,US-202022-3857264,2023-07-26,2023-08-01,标准级,武杰-14815,武杰,小型企业,淮阴,江苏,中国,华东,办公用-器具-10004757,办公用品,器具,"Breville 炉灶, 黑色",9424.296,6,0.4,-2042.544,6,2023,7,3,2,-0.21673173253471664,1,1570.7160000000001
43,CN-202022-4054371,2023-12-24,2023-12-26,二级,吕兰-15700,吕兰,消费者,肇源,黑龙江,中国,东北,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",4127.76,9,0.0,1650.6,2,2023,12,4,6,0.39987789987789985,0,458.64000000000004
44,CN-202020-2932548,2021-05-17,2021-05-22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-收纳-10004212,办公用品,收纳具,"Fellowes 锁柜, 蓝色",1935.08,2,0.0,0.0,5,2021,5,2,0,0.0,0,967.54
45,CN-202020-2932548,2021-05-17,2021-05-22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-美术-10001691,办公用品,美术,"Sanford 钢笔, 混合尺寸",266.5600000000001,4,0.0,50.4,5,2021,5,2,0,0.18907563025210075,0,66.64000000000003
46,CN-202022-3476344,2023-07-16,2023-07-20,标准级,葛毅-12505,葛毅,消费者,合肥,安徽,中国,华东,办公用-装订-10000749,办公用品,装订机,"Ibico 打孔机, 透明",697.9000000000001,5,0.0,236.6,4,2023,7,3,6,0.3390170511534603,0,139.58
47,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-美术-10001467,办公用品,美术,"Boston 速写本, 蓝色",272.1599999999999,6,0.8,-1020.6,2,2023,6,2,4,-3.7500000000000013,1,45.359999999999985
48,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",1780.968,1,0.4,237.328,2,2023,6,2,4,0.13325786875452,0,1780.968
49,US-202022-5956361,2023-06-16,2023-06-18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-信封-10002675,办公用品,信封,"Ames 邮寄品, 银色",357.0,2,0.0,149.8,2,2023,6,2,4,0.4196078431372549,0,178.5
50,CN-202023-2396895,2024-06-19,2024-06-22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-电话-10004015,技术,电话,"思科 充电器, 全尺寸",12183.36,4,0.0,1340.08,3,2024,6,2,2,0.10999264570693142,0,3045.84
51,CN-202023-2396895,2024-06-19,2024-06-22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-复印-10003216,技术,复印机,"Hewlett 传真机, 彩色",2999.36,2,0.0,1229.48,3,2024,6,2,2,0.4099141150112024,0,1499.68
52,CN-202023-2396895,2024-06-19,2024-06-22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,办公用-收纳-10000501,办公用品,收纳具,"Tenex 盘, 工业",510.4399999999999,2,0.0,224.56,3,2024,6,2,2,0.4399341744377401,0,255.21999999999994
53,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10000297,办公用品,器具,"Hamilton Beach 炉灶, 黑色",12641.3,5,0.0,3539.2,4,2023,5,2,0,0.27997120549310595,0,2528.2599999999998
54,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10002796,办公用品,器具,"Hamilton Beach 烤面包机, 银色",1359.4,5,0.0,217.0,4,2023,5,2,0,0.15962924819773427,0,271.88
55,CN-202022-2828982,2023-05-22,2023-05-26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-收纳-10000932,办公用品,收纳具,"Rogers 文件夹, 蓝色",143.22,1,0.0,68.74000000000001,4,2023,5,2,0,0.4799608993157381,0,143.22
56,US-202022-4297166,2023-12-31,2024-01-04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-用品-10003822,办公用品,用品,"Acme 开信刀, 蓝色",338.352,4,0.4,-129.808,4,2023,12,4,6,-0.3836477987421384,1,84.588
57,US-202022-4297166,2023-12-31,2024-01-04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10003020,办公用品,系固件,"Stockwell 订书钉, 每包 12 个",137.76,5,0.4,-71.54,4,2023,12,4,6,-0.519308943089431,1,27.552
58,US-202022-4297166,2023-12-31,2024-01-04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10004142,办公用品,系固件,"Accos 按钉, 整包",121.968,3,0.4,-40.992,4,2023,12,4,6,-0.3360881542699724,1,40.656
59,US-202022-4292548,2023-10-01,2023-10-07,标准级,徐健-14590,徐健,公司,黄石,湖北,中国,中南,家具-书架-10001540,家具,书架,"Dania 古典书架, 白色",2314.368,2,0.4,-694.5120000000001,6,2023,10,4,6,-0.30008710801393734,1,1157.184
60,CN-202023-4838467,2024-11-16,2024-11-23,标准级,麦虹-13855,麦虹,公司,西安,陕西,中国,西北,办公用-收纳-10002943,办公用品,收纳具,"Smead 文件车, 蓝色",1198.4,2,0.0,455.28,7,2024,11,4,5,0.3799065420560747,0,599.2
61,CN-202020-3232413,2021-08-24,2021-08-27,二级,袁保-10405,袁保,公司,阳江,广东,中国,中南,技术-复印-10001943,技术,复印机,"佳能 传真机, 红色",2954.84,2,0.0,1152.2,3,2021,8,3,1,0.38993651094475507,0,1477.42
62,CN-202022-4162714,2023-06-07,2023-06-10,一级,马丽-16480,马丽娜,消费者,邓州,河南,中国,中南,技术-设备-10004500,技术,设备,"松下 电话, 耐用",2775.36,7,0.0,332.22,3,2023,6,2,2,0.11970338983050847,0,396.48
63,CN-202020-4497265,2021-01-21,2021-01-23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-标签-10002381,办公用品,标签,"Harbour Creations 运输标签, 耐用",276.5,5,0.0,132.3,2,2021,1,1,3,0.4784810126582279,0,55.3
64,CN-202020-4497265,2021-01-21,2021-01-23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-系固-10004216,办公用品,系固件,"Stockwell 回形针, 混合尺寸",255.5,5,0.0,51.09999999999999,2,2021,1,1,3,0.19999999999999996,0,51.1
65,CN-202023-5922906,2024-09-15,2024-09-17,二级,钱伟-21430,钱伟,公司,湛江,广东,中国,中南,技术-设备-10003635,技术,设备,"StarTech 打印机, 耐用",4784.08,4,0.0,382.48,2,2024,9,3,6,0.0799484958445511,0,1196.02
66,US-202020-3767771,2021-12-19,2021-12-24,标准级,陶武-21880,陶武,公司,孝感,湖北,中国,中南,办公用-器具-10003836,办公用品,器具,"Hoover 微波炉, 黑色",6900.767999999999,8,0.4,-3106.432,5,2021,12,4,6,-0.4501574317525238,1,862.5959999999999
67,US-202020-1166331,2021-10-31,2021-11-01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-美术-10002740,办公用品,美术,"Stanley 速写本, 蓝色",497.616,3,0.2,-37.46400000000001,1,2021,10,4,6,-0.07528696826468605,1,165.87199999999999
68,US-202020-1166331,2021-10-31,2021-11-01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-纸张-10002104,办公用品,纸张,"Green Bar 计划信息表, 每包 12 个",391.02,3,0.0,23.1,1,2021,10,4,6,0.05907626208378089,0,130.34
69,CN-202022-3064620,2023-03-11,2023-03-16,二级,韩凤-12820,韩凤,小型企业,哈尔滨,黑龙江,中国,东北,技术-配件-10003980,技术,配件,"SanDisk 路由器, 耐用",3591.84,3,0.0,933.66,5,2023,3,1,5,0.25993919550982225,0,1197.28
70,CN-202021-3188191,2022-09-27,2022-10-02,二级,涂博-10585,涂博,消费者,滕州,山东,中国,华东,办公用-标签-10004567,办公用品,标签,"Smead 有色标签, 红色",300.3,5,0.0,149.8,5,2022,9,3,1,0.4988344988344989,0,60.06
71,CN-202021-5717181,2022-09-15,2022-09-18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,办公用-信封-10002784,办公用品,信封,"Kraft 搭扣信封, 红色",292.6,5,0.0,125.3,3,2022,9,3,3,0.4282296650717703,0,58.52
72,CN-202021-5717181,2022-09-15,2022-09-18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,家具-书架-10000904,家具,书架,"宜家 书架, 传统",572.04,1,0.0,62.86,3,2022,9,3,3,0.10988742046010769,0,572.04
73,CN-202023-2187292,2024-10-26,2024-10-28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10000393,技术,电话,"三星 信号增强器, 全尺寸",1930.32,3,0.0,810.5999999999999,2,2024,10,4,5,0.4199303742384682,0,643.4399999999999
74,CN-202023-2187292,2024-10-26,2024-10-28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,办公用-信封-10003279,办公用品,信封,"Kraft 邮寄品, 每套 50 个",527.1,3,0.0,47.04000000000001,2,2024,10,4,5,0.08924302788844624,0,175.70000000000002
75,CN-202023-2187292,2024-10-26,2024-10-28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10001992,技术,电话,"三星 充电器, 全尺寸",2974.72,1,0.0,594.86,2,2024,10,4,5,0.19997176204819278,0,2974.72
76,US-202020-3275681,2021-02-02,2021-02-06,二级,黄丽-15835,黄丽,消费者,椒江,浙江,中国,华东,办公用-用品-10001427,办公用品,用品,"Elite 大剪刀, 蓝色",658.1399999999999,5,0.4,-33.46000000000004,4,2021,2,1,1,-0.050840246756009434,1,131.628
77,CN-202020-5821791,2021-12-23,2021-12-27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-系固-10000833,办公用品,系固件,"Accos 橡皮筋, 每包 12 个",150.36,2,0.0,23.8,4,2021,12,4,3,0.15828677839851024,0,75.18
78,CN-202020-5821791,2021-12-23,2021-12-27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10000918,办公用品,标签,"Hon 圆形标签, 耐用",98.7,3,0.0,16.38,4,2021,12,4,3,0.16595744680851063,0,32.9
79,CN-202020-5821791,2021-12-23,2021-12-27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10002018,办公用品,标签,"Novimex 合法证物标签, 可调",78.12,2,0.0,16.24,4,2021,12,4,3,0.20788530465949817,0,39.06
80,CN-202022-4126497,2023-03-11,2023-03-16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-标签-10002541,办公用品,标签,"Harbour Creations 运输标签, 可调",611.52,14,0.0,84.28,5,2023,3,1,5,0.13782051282051283,0,43.68
81,CN-202022-4126497,2023-03-11,2023-03-16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-用品-10003186,办公用品,用品,"Kleencut 尺子, 钢",120.96,2,0.0,36.12,5,2023,3,1,5,0.2986111111111111,0,60.48
82,CN-202022-1751343,2023-08-08,2023-08-08,当日,彭雯-21790,彭雯,消费者,西安,陕西,中国,西北,技术-复印-10002908,技术,复印机,"佳能 复印机, 数字化",2443.28,2,0.0,439.6,0,2023,8,3,1,0.17992207196882878,0,1221.64
83,US-202021-1803838,2022-08-22,2022-08-27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,技术-复印-10004933,技术,复印机,"夏普 墨水, 每套两件",696.6959999999999,2,0.4,-395.0239999999999,5,2022,8,3,0,-0.5669962221686359,1,348.34799999999996
84,US-202021-1803838,2022-08-22,2022-08-27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,办公用-标签-10002776,办公用品,标签,"Novimex 圆形标签, 可调",58.38,3,0.0,26.04,5,2022,8,3,0,0.44604316546762585,0,19.46
85,CN-202020-4861225,2021-06-01,2021-06-06,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,办公用-信封-10002440,办公用品,信封,"Ames 外皮和封条, 回收",571.34,7,0.0,194.04,5,2021,6,2,1,0.33962264150943394,0,81.62
86,CN-202020-4861225,2021-06-01,2021-06-06,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,家具-用具-10002471,家具,用具,"Tenex 分层置放架, 黑色",588.7,5,0.0,123.2,5,2021,6,2,1,0.20927467300832342,0,117.74000000000001
87,CN-202023-3172853,2024-05-28,2024-06-02,二级,熊丽-15805,熊丽,公司,西宁,青海,中国,西北,办公用-标签-10000895,办公用品,标签,"Harbour Creations 有色标签, 可调",302.4,6,0.0,45.36,5,2024,5,2,1,0.15000000000000002,0,50.4
88,CN-202022-5552260,2023-07-26,2023-07-26,当日,曾康-15445,曾康,消费者,绵阳,四川,中国,西南,家具-用具-10001977,家具,用具,"Eldon 框架, 优质",1929.816,6,0.4,192.6960000000001,0,2023,7,3,2,0.09985200661617487,0,321.636
89,US-202020-1357144,2021-12-14,2021-12-18,标准级,郝升-20095,郝升,消费者,武汉,湖北,中国,中南,技术-电话-10002696,技术,电话,"思科 充电器, 混合尺寸",7327.488,4,0.4,-3664.192000000001,4,2021,12,4,1,-0.5000611396429446,1,1831.872
90,CN-202020-5926511,2021-11-17,2021-11-22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-装订-10000287,办公用品,装订机,"Wilson Jones 孔加固材料, 实惠",42.28000000000001,2,0.0,10.08,5,2021,11,4,2,0.23841059602649003,0,21.140000000000004
91,CN-202020-5926511,2021-11-17,2021-11-22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10001262,办公用品,收纳具,"Eldon 搁板, 金属",664.86,3,0.0,186.06,5,2021,11,4,2,0.2798483891345546,0,221.62
92,CN-202020-5926511,2021-11-17,2021-11-22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10003464,办公用品,收纳具,"Rogers 盘, 金属",567.0,2,0.0,243.6,5,2021,11,4,2,0.42962962962962964,0,283.5
93,CN-202020-5926511,2021-11-17,2021-11-22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10004132,办公用品,收纳具,"Rogers 盘, 工业",580.16,2,0.0,255.08,5,2021,11,4,2,0.4396718146718147,0,290.08
94,US-202023-4733722,2024-05-21,2024-05-24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-用品-10001876,办公用品,用品,"Stiletto 大剪刀, 钢",398.9160000000001,3,0.4,-226.4640000000001,3,2024,5,2,1,-0.567698462834281,1,132.97200000000004
95,US-202023-4733722,2024-05-21,2024-05-24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,家具-椅子-10004416,家具,椅子,"Novimex 折叠椅, 每套两件",1182.72,5,0.4,-39.48000000000025,3,2024,5,2,1,-0.03338068181818203,1,236.544
96,US-202023-4733722,2024-05-21,2024-05-24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-系固-10001646,办公用品,系固件,"OIC 夹子, 整包",276.78,5,0.4,-14.41999999999999,3,2024,5,2,1,-0.05209914011127968,1,55.355999999999995
97,US-202023-4733722,2024-05-21,2024-05-24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-信封-10004907,办公用品,信封,"Ames 局间信封, 银色",665.28,3,0.0,66.36,3,2024,5,2,1,0.09974747474747475,0,221.76
98,US-202023-4733722,2024-05-21,2024-05-24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-美术-10002705,办公用品,美术,"Sanford 荧光笔, 蓝色",29.39999999999999,2,0.8,-63.27999999999998,3,2024,5,2,1,-2.1523809523809523,1,14.699999999999996
99,CN-202023-5834341,2024-11-10,2024-11-14,标准级,马惠-14335,马惠英,公司,南宁,广西,中国,中南,技术-设备-10003039,技术,设备,"爱普生 收据打印机, 耐用",2186.8,4,0.0,612.0799999999999,4,2024,11,4,6,0.2798975672215108,0,546.7
100,CN-202021-1973789,2022-01-25,2022-01-28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-用品-10000800,办公用品,用品,"Elite 修剪器, 工业",606.06,3,0.0,48.3,3,2022,1,1,1,0.0796950796950797,0,202.01999999999998
