行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
54,CN-202022-2828982,2023/05/22,2023/05/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10002796,办公用品,器具,"Hamilton Beach 烤面包机, 银色",1359.4,5,0.0,217.0
55,CN-202022-2828982,2023/05/22,2023/05/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-收纳-10000932,办公用品,收纳具,"Rogers 文件夹, 蓝色",143.22,1,0.0,68.74000000000001
56,US-202022-4297166,2023/12/31,2024/01/04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-用品-10003822,办公用品,用品,"Acme 开信刀, 蓝色",338.352,4,0.4,-129.808
57,US-202022-4297166,2023/12/31,2024/01/04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10003020,办公用品,系固件,"Stockwell 订书钉, 每包 12 个",137.76,5,0.4,-71.54
58,US-202022-4297166,2023/12/31,2024/01/04,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10004142,办公用品,系固件,"Accos 按钉, 整包",121.968,3,0.4,-40.992
59,US-202022-4292548,2023/10/01,2023/10/07,标准级,徐健-14590,徐健,公司,黄石,湖北,中国,中南,家具-书架-10001540,家具,书架,"Dania 古典书架, 白色",2314.368,2,0.4,-694.5120000000001
60,CN-202023-4838467,2024/11/16,2024/11/23,标准级,麦虹-13855,麦虹,公司,西安,陕西,中国,西北,办公用-收纳-10002943,办公用品,收纳具,"Smead 文件车, 蓝色",1198.4,2,0.0,455.28
61,CN-202020-3232413,2021/08/24,2021/08/27,二级,袁保-10405,袁保,公司,阳江,广东,中国,中南,技术-复印-10001943,技术,复印机,"佳能 传真机, 红色",2954.84,2,0.0,1152.2
62,CN-202022-4162714,2023/06/07,2023/06/10,一级,马丽-16480,马丽娜,消费者,邓州,河南,中国,中南,技术-设备-10004500,技术,设备,"松下 电话, 耐用",2775.36,7,0.0,332.22
63,CN-202020-4497265,2021/01/21,2021/01/23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-标签-10002381,办公用品,标签,"Harbour Creations 运输标签, 耐用",276.5,5,0.0,132.3
64,CN-202020-4497265,2021/01/21,2021/01/23,一级,谭君-15265,谭君,公司,曲阜,山东,中国,华东,办公用-系固-10004216,办公用品,系固件,"Stockwell 回形针, 混合尺寸",255.5,5,0.0,51.09999999999999
65,CN-202023-5922906,2024/09/15,2024/09/17,二级,钱伟-21430,钱伟,公司,湛江,广东,中国,中南,技术-设备-10003635,技术,设备,"StarTech 打印机, 耐用",4784.08,4,0.0,382.48
66,US-202020-3767771,2021/12/19,2021/12/24,标准级,陶武-21880,陶武,公司,孝感,湖北,中国,中南,办公用-器具-10003836,办公用品,器具,"Hoover 微波炉, 黑色",6900.767999999999,8,0.4,-3106.432
67,US-202020-1166331,2021/10/31,2021/11/01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-美术-10002740,办公用品,美术,"Stanley 速写本, 蓝色",497.616,3,0.2,-37.46400000000001
68,US-202020-1166331,2021/10/31,2021/11/01,当日,陶聪-11725,陶聪,消费者,浏阳,湖南,中国,中南,办公用-纸张-10002104,办公用品,纸张,"Green Bar 计划信息表, 每包 12 个",391.02,3,0.0,23.1
69,CN-202022-3064620,2023/03/11,2023/03/16,二级,韩凤-12820,韩凤,小型企业,哈尔滨,黑龙江,中国,东北,技术-配件-10003980,技术,配件,"SanDisk 路由器, 耐用",3591.84,3,0.0,933.6600000000001
70,CN-202021-3188191,2022/09/27,2022/10/02,二级,涂博-10585,涂博,消费者,滕州,山东,中国,华东,办公用-标签-10004567,办公用品,标签,"Smead 有色标签, 红色",300.3,5,0.0,149.8
71,CN-202021-5717181,2022/09/15,2022/09/18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,办公用-信封-10002784,办公用品,信封,"Kraft 搭扣信封, 红色",292.6,5,0.0,125.3
72,CN-202021-5717181,2022/09/15,2022/09/18,一级,钟庆-19510,钟庆缘,小型企业,北京,北京,中国,华北,家具-书架-10000904,家具,书架,"宜家 书架, 传统",572.04,1,0.0,62.86
73,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10000393,技术,电话,"三星 信号增强器, 全尺寸",1930.32,3,0.0,810.5999999999999
74,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,办公用-信封-10003279,办公用品,信封,"Kraft 邮寄品, 每套 50 个",527.1,3,0.0,47.04000000000001
75,CN-202023-2187292,2024/10/26,2024/10/28,二级,孟刚-13180,孟刚,公司,重庆,重庆,中国,西南,技术-电话-10001992,技术,电话,"三星 充电器, 全尺寸",2974.72,1,0.0,594.86
76,US-202020-3275681,2021/02/02,2021/02/06,二级,黄丽-15835,黄丽,消费者,椒江,浙江,中国,华东,办公用-用品-10001427,办公用品,用品,"Elite 大剪刀, 蓝色",658.1399999999999,5,0.4,-33.46000000000004
77,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-系固-10000833,办公用品,系固件,"Accos 橡皮筋, 每包 12 个",150.36,2,0.0,23.8
78,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10000918,办公用品,标签,"Hon 圆形标签, 耐用",98.69999999999999,3,0.0,16.38
79,CN-202020-5821791,2021/12/23,2021/12/27,标准级,倪幂-18085,倪幂,消费者,西安,陕西,中国,西北,办公用-标签-10002018,办公用品,标签,"Novimex 合法证物标签, 可调",78.12,2,0.0,16.24
80,CN-202022-4126497,2023/03/11,2023/03/16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-标签-10002541,办公用品,标签,"Harbour Creations 运输标签, 可调",611.52,14,0.0,84.28
81,CN-202022-4126497,2023/03/11,2023/03/16,标准级,钱珊-19855,钱珊,公司,南昌,江西,中国,华东,办公用-用品-10003186,办公用品,用品,"Kleencut 尺子, 钢",120.96,2,0.0,36.12
82,CN-202022-1751343,2023/08/08,2023/08/08,当日,彭雯-21790,彭雯,消费者,西安,陕西,中国,西北,技术-复印-10002908,技术,复印机,"佳能 复印机, 数字化",2443.28,2,0.0,439.6
83,US-202021-1803838,2022/08/22,2022/08/27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,技术-复印-10004933,技术,复印机,"夏普 墨水, 每套两件",696.6959999999999,2,0.4,-395.0239999999999
84,US-202021-1803838,2022/08/22,2022/08/27,二级,谢雯-21700,谢雯,小型企业,叶柏寿,辽宁,中国,东北,办公用-标签-10002776,办公用品,标签,"Novimex 圆形标签, 可调",58.38,3,0.0,26.04
85,CN-202020-4861225,2021/06/01,2021/06/06,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,办公用-信封-10002440,办公用品,信封,"Ames 外皮和封条, 回收",571.34,7,0.0,194.04
86,CN-202020-4861225,2021/06/01,2021/06/06,标准级,韦立-16915,韦立,消费者,上海,上海,中国,华东,家具-用具-10002471,家具,用具,"Tenex 分层置放架, 黑色",588.7,5,0.0,123.2
87,CN-202023-3172853,2024/05/28,2024/06/02,二级,熊丽-15805,熊丽,公司,西宁,青海,中国,西北,办公用-标签-10000895,办公用品,标签,"Harbour Creations 有色标签, 可调",302.4,6,0.0,45.36
88,CN-202022-5552260,2023/07/26,2023/07/26,当日,曾康-15445,曾康,消费者,绵阳,四川,中国,西南,家具-用具-10001977,家具,用具,"Eldon 框架, 优质",1929.816,6,0.4,192.6960000000001
89,US-202020-1357144,2021/12/14,2021/12/18,标准级,郝升-20095,郝升,消费者,武汉,湖北,中国,中南,技术-电话-10002696,技术,电话,"思科 充电器, 混合尺寸",7327.488,4,0.4,-3664.192000000001
90,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-装订-10000287,办公用品,装订机,"Wilson Jones 孔加固材料, 实惠",42.28000000000001,2,0.0,10.08
91,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10001262,办公用品,收纳具,"Eldon 搁板, 金属",664.86,3,0.0,186.06
92,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10003464,办公用品,收纳具,"Rogers 盘, 金属",567.0,2,0.0,243.6
93,CN-202020-5926511,2021/11/17,2021/11/22,标准级,程聪-11620,程聪,消费者,韩城,陕西,中国,西北,办公用-收纳-10004132,办公用品,收纳具,"Rogers 盘, 工业",580.16,2,0.0,255.08
94,US-202023-4733722,2024/05/21,2024/05/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-用品-10001876,办公用品,用品,"Stiletto 大剪刀, 钢",398.9160000000001,3,0.4,-226.4640000000001
95,US-202023-4733722,2024/05/21,2024/05/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,家具-椅子-10004416,家具,椅子,"Novimex 折叠椅, 每套两件",1182.72,5,0.4,-39.48000000000025
96,US-202023-4733722,2024/05/21,2024/05/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-系固-10001646,办公用品,系固件,"OIC 夹子, 整包",276.78,5,0.4,-14.41999999999999
97,US-202023-4733722,2024/05/21,2024/05/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-信封-10004907,办公用品,信封,"Ames 局间信封, 银色",665.28,3,0.0,66.36
98,US-202023-4733722,2024/05/21,2024/05/24,二级,顾黎-16360,顾黎明,消费者,盐城,江苏,中国,华东,办公用-美术-10002705,办公用品,美术,"Sanford 荧光笔, 蓝色",29.39999999999999,2,0.8,-63.27999999999998
99,CN-202023-5834341,2024/11/10,2024/11/14,标准级,马惠-14335,马惠英,公司,南宁,广西,中国,中南,技术-设备-10003039,技术,设备,"爱普生 收据打印机, 耐用",2186.8,4,0.0,612.0799999999999
100,CN-202021-1973789,2022/01/25,2022/01/28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-用品-10000800,办公用品,用品,"Elite 修剪器, 工业",606.06,3,0.0,48.3
101,CN-202021-1973789,2022/01/25,2022/01/28,一级,涂博-10585,涂博,消费者,泉州,福建,中国,华东,办公用-器具-10004620,办公用品,器具,"Cuisinart 咖啡研磨机, 红色",720.7199999999999,4,0.0,222.88
102,CN-202023-3766882,2024/11/14,2024/11/18,标准级,巩松-20680,巩松,小型企业,天津,天津,中国,华北,办公用-用品-10000056,办公用品,用品,"Elite 开信刀, 钢",249.2,2,0.0,122.08
103,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,办公用-装订-10002223,办公用品,装订机,"Avery 装订机, 回收",185.64,3,0.0,0.0
104,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,家具-用具-10004678,家具,用具,"Eldon 闹钟, 优质",2315.88,9,0.0,69.30000000000001
105,CN-202023-3665640,2024/10/23,2024/10/28,二级,孙辉-12625,孙辉,小型企业,天津,天津,中国,华北,家具-椅子-10003692,家具,椅子,"SAFCO 扶手椅, 红色",2153.34,1,0.0,947.38
106,CN-202021-5378913,2022/10/10,2022/10/12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,家具-椅子-10004126,家具,椅子,"Novimex 折叠椅, 黑色",2606.8,7,0.0,155.82
107,CN-202021-5378913,2022/10/10,2022/10/12,一级,彭伟-21550,彭伟,小型企业,七台河,黑龙江,中国,东北,技术-配件-10004359,技术,配件,"Memorex 键区, 回收",803.0400000000001,4,0.0,96.32
108,CN-202022-2045726,2023/10/17,2023/10/18,一级,巩关-15595,巩关茵,公司,徐州,江苏,中国,华东,办公用-用品-10001026,办公用品,用品,"Fiskars 修剪器, 锯齿状",546.0000000000001,5,0.4,81.89999999999998
109,CN-202022-2045726,2023/10/17,2023/10/18,一级,巩关-15595,巩关茵,公司,徐州,江苏,中国,华东,技术-复印-10001588,技术,复印机,"Hewlett 复印机, 彩色",4453.847999999999,6,0.4,-1484.952
110,CN-202023-2328434,2024/09/12,2024/09/15,一级,黄娟-15130,黄娟,消费者,扬州,江苏,中国,华东,办公用-纸张-10003708,办公用品,纸张,"Eaton 计划信息表, 每包 12 个",346.08,3,0.0,17.22
111,CN-202022-3984376,2023/08/05,2023/08/07,二级,陈莲-16930,陈莲,公司,北京,北京,中国,华北,办公用-装订-10000285,办公用品,装订机,"Acco 孔加固材料, 透明",85.68,3,0.0,38.22
112,CN-202023-5057492,2024/01/28,2024/02/02,二级,韦锦-14950,韦锦,消费者,株洲,湖南,中国,中南,办公用-器具-10003636,办公用品,器具,"KitchenAid 微波炉, 黑色",1445.5,1,0.0,28.84
113,CN-202023-1118317,2024/05/20,2024/05/25,标准级,谭珊-19900,谭珊,消费者,青冈,黑龙江,中国,东北,技术-电话-10003105,技术,电话,"诺基亚 办公室电话机, 整包",913.08,3,0.0,355.74
114,CN-202022-1498643,2023/06/22,2023/06/22,当日,牛德-12190,牛德伟,消费者,新泰,山东,中国,华东,技术-配件-10004442,技术,配件,"贝尔金 路由器, 耐用",2416.96,2,0.0,1015.0
115,CN-202022-1498643,2023/06/22,2023/06/22,当日,牛德-12190,牛德伟,消费者,新泰,山东,中国,华东,办公用-用品-10002859,办公用品,用品,"Fiskars 大剪刀, 工业",1149.4,5,0.0,298.2
116,US-202023-4595101,2024/02/21,2024/02/24,二级,马惠-14335,马惠英,公司,仪征,江苏,中国,华东,办公用-美术-10002408,办公用品,美术,"Stanley 铅笔刀, 整包",140.2799999999999,6,0.8,-336.84
117,US-202023-4595101,2024/02/21,2024/02/24,二级,马惠-14335,马惠英,公司,仪征,江苏,中国,华东,办公用-装订-10003175,办公用品,装订机,"Avery 装订机, 实惠",108.36,3,0.4,12.60000000000001
118,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10002440,办公用品,信封,"Ames 外皮和封条, 回收",489.72,6,0.0,166.32
119,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-设备-10003147,技术,设备,"StarTech 收据打印机, 红色",301.644,1,0.4,-170.996
120,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000118,办公用品,信封,"GlobeWeis 马尼拉纸信封, 银色",278.04,2,0.0,27.72
121,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-配件-10002633,技术,配件,"罗技 记忆卡, 耐用",1160.208,4,0.4,173.4879999999999
122,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,技术-电话-10002475,技术,电话,"诺基亚 办公室电话机, 全尺寸",1301.832,7,0.4,-195.6080000000001
123,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-收纳-10000793,办公用品,收纳具,"Smead 锁柜, 单宽度",2778.3,3,0.0,222.18
124,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-信封-10000562,办公用品,信封,"Kraft 搭扣信封, 银色",212.8,4,0.0,97.44
125,CN-202021-3269021,2022/10/08,2022/10/08,当日,冯丽-17350,冯丽丽,消费者,镇江,江苏,中国,华东,办公用-用品-10004613,办公用品,用品,"Elite 美工刀, 工业",204.456,2,0.4,-47.82399999999997
