客户 ID,最近购买日期,购买频率,购买金额,R_天数,客户名称,细分,地区,R_Score,F_Score,M_Score,RFM_总分,RFM_平均分,客户分群,价值等级
万冬-12460,2024-08-25,14,21343.559999999998,127,万冬露,消费者,华北,2,3,3,8,2.6666666666666665,一般客户,普通客户
万冬-12460,2024-08-25,14,21343.559999999998,127,万冬露,消费者,中南,2,3,3,8,2.6666666666666665,一般客户,普通客户
万冬-12460,2024-08-25,14,21343.559999999998,127,万冬露,消费者,华东,2,3,3,8,2.6666666666666665,一般客户,普通客户
万刚-13195,2024-08-18,6,4965.128,134,万刚,公司,中南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
万刚-13195,2024-08-18,6,4965.128,134,万刚,公司,华东,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
万刚-13195,2024-08-18,6,4965.128,134,万刚,公司,西南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
万莞-13330,2024-07-10,15,19507.739999999998,173,万莞颖,消费者,华北,2,4,3,9,3.0,一般客户,重要客户
万莞-13330,2024-07-10,15,19507.739999999998,173,万莞颖,消费者,中南,2,4,3,9,3.0,一般客户,重要客户
万莞-13330,2024-07-10,15,19507.739999999998,173,万莞颖,消费者,西南,2,4,3,9,3.0,一般客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,西北,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,华东,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,中南,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,华北,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,东北,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万虹-13900,2024-12-03,13,21633.948,27,万虹,消费者,西南,4,3,3,10,3.3333333333333335,重要保持客户,重要客户
万达-11815,2023-12-05,13,48822.074,391,万达侠,公司,西南,1,3,5,9,3.0,一般客户,重要客户
万达-11815,2023-12-05,13,48822.074,391,万达侠,公司,华北,1,3,5,9,3.0,一般客户,重要客户
万达-11815,2023-12-05,13,48822.074,391,万达侠,公司,东北,1,3,5,9,3.0,一般客户,重要客户
万达-11815,2023-12-05,13,48822.074,391,万达侠,公司,华东,1,3,5,9,3.0,一般客户,重要客户
万达-11815,2023-12-05,13,48822.074,391,万达侠,公司,中南,1,3,5,9,3.0,一般客户,重要客户
严强-19435,2024-09-29,4,1331.092,92,严强,消费者,中南,3,1,1,5,1.6666666666666667,一般客户,低价值客户
严强-19435,2024-09-29,4,1331.092,92,严强,消费者,华东,3,1,1,5,1.6666666666666667,一般客户,低价值客户
严恒-13660,2024-10-13,13,11708.844,78,严恒,消费者,中南,3,3,2,8,2.6666666666666665,一般客户,普通客户
严恒-13660,2024-10-13,13,11708.844,78,严恒,消费者,华北,3,3,2,8,2.6666666666666665,一般客户,普通客户
严恒-13660,2024-10-13,13,11708.844,78,严恒,消费者,东北,3,3,2,8,2.6666666666666665,一般客户,普通客户
严恒-13660,2024-10-13,13,11708.844,78,严恒,消费者,华东,3,3,2,8,2.6666666666666665,一般客户,普通客户
严恒-13660,2024-10-13,13,11708.844,78,严恒,消费者,西南,3,3,2,8,2.6666666666666665,一般客户,普通客户
严珑-17890,2024-11-04,12,25246.725,56,严珑,小型企业,中南,4,3,4,11,3.6666666666666665,重要保持客户,重要客户
严珑-17890,2024-11-04,12,25246.725,56,严珑,小型企业,华东,4,3,4,11,3.6666666666666665,重要保持客户,重要客户
严珑-17890,2024-11-04,12,25246.725,56,严珑,小型企业,华北,4,3,4,11,3.6666666666666665,重要保持客户,重要客户
严珑-17890,2024-11-04,12,25246.725,56,严珑,小型企业,东北,4,3,4,11,3.6666666666666665,重要保持客户,重要客户
严盛-20410,2024-08-21,11,22981.56,131,严盛,消费者,西南,2,2,3,7,2.3333333333333335,需挽留客户,普通客户
严盛-20410,2024-08-21,11,22981.56,131,严盛,消费者,华东,2,2,3,7,2.3333333333333335,需挽留客户,普通客户
严盛-20410,2024-08-21,11,22981.56,131,严盛,消费者,中南,2,2,3,7,2.3333333333333335,需挽留客户,普通客户
严聪-11740,2024-10-14,15,22080.604,77,严聪,消费者,华东,3,4,3,10,3.3333333333333335,重要保持客户,重要客户
严聪-11740,2024-10-14,15,22080.604,77,严聪,消费者,中南,3,4,3,10,3.3333333333333335,重要保持客户,重要客户
严聪-11740,2024-10-14,15,22080.604,77,严聪,消费者,华北,3,4,3,10,3.3333333333333335,重要保持客户,重要客户
严聪-11740,2024-10-14,15,22080.604,77,严聪,消费者,东北,3,4,3,10,3.3333333333333335,重要保持客户,重要客户
严诚-11395,2024-09-11,8,13023.332,110,严诚,公司,东北,3,1,2,6,2.0,一般客户,普通客户
严诚-11395,2024-09-11,8,13023.332,110,严诚,公司,西北,3,1,2,6,2.0,一般客户,普通客户
严诚-11395,2024-09-11,8,13023.332,110,严诚,公司,华东,3,1,2,6,2.0,一般客户,普通客户
付丽-15790,2024-10-31,10,14672.840000000002,60,付丽,消费者,中南,4,2,2,8,2.6666666666666665,一般客户,普通客户
付丽-15790,2024-10-31,10,14672.840000000002,60,付丽,消费者,东北,4,2,2,8,2.6666666666666665,一般客户,普通客户
付丽-15790,2024-10-31,10,14672.840000000002,60,付丽,消费者,华东,4,2,2,8,2.6666666666666665,一般客户,普通客户
付惠-14365,2023-12-11,8,11178.72,385,付惠,公司,华东,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
付惠-14365,2023-12-11,8,11178.72,385,付惠,公司,东北,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
付惠-14365,2023-12-11,8,11178.72,385,付惠,公司,中南,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
付松-20650,2024-02-13,10,34682.536,321,付松,公司,华北,1,2,5,8,2.6666666666666665,需挽留客户,普通客户
付松-20650,2024-02-13,10,34682.536,321,付松,公司,中南,1,2,5,8,2.6666666666666665,需挽留客户,普通客户
付松-20650,2024-02-13,10,34682.536,321,付松,公司,华东,1,2,5,8,2.6666666666666665,需挽留客户,普通客户
付松-20650,2024-02-13,10,34682.536,321,付松,公司,西南,1,2,5,8,2.6666666666666665,需挽留客户,普通客户
付涛-21160,2024-10-28,11,11069.66,63,付涛,公司,西北,3,2,2,7,2.3333333333333335,一般客户,普通客户
付涛-21160,2024-10-28,11,11069.66,63,付涛,公司,华北,3,2,2,7,2.3333333333333335,一般客户,普通客户
付涛-21160,2024-10-28,11,11069.66,63,付涛,公司,华东,3,2,2,7,2.3333333333333335,一般客户,普通客户
付涛-21160,2024-10-28,11,11069.66,63,付涛,公司,西南,3,2,2,7,2.3333333333333335,一般客户,普通客户
付立-16750,2024-05-14,17,26259.016,230,付立,消费者,华北,1,4,4,9,3.0,一般客户,重要客户
付立-16750,2024-05-14,17,26259.016,230,付立,消费者,东北,1,4,4,9,3.0,一般客户,重要客户
付立-16750,2024-05-14,17,26259.016,230,付立,消费者,中南,1,4,4,9,3.0,一般客户,重要客户
付立-16750,2024-05-14,17,26259.016,230,付立,消费者,华东,1,4,4,9,3.0,一般客户,重要客户
付聪-11650,2023-12-11,5,4846.464,385,付聪,公司,中南,1,1,1,3,1.0,需挽留客户,低价值客户
付聪-11650,2023-12-11,5,4846.464,385,付聪,公司,东北,1,1,1,3,1.0,需挽留客户,低价值客户
付芳-12700,2024-04-02,12,10068.856000000002,272,付芳茵,小型企业,中南,1,3,1,5,1.6666666666666667,一般客户,低价值客户
付芳-12700,2024-04-02,12,10068.856000000002,272,付芳茵,小型企业,华东,1,3,1,5,1.6666666666666667,一般客户,低价值客户
付荣-19690,2024-12-12,11,25243.456,18,付荣,消费者,华东,5,2,4,11,3.6666666666666665,重要发展客户,重要客户
付荣-19690,2024-12-12,11,25243.456,18,付荣,消费者,东北,5,2,4,11,3.6666666666666665,重要发展客户,重要客户
付荣-19690,2024-12-12,11,25243.456,18,付荣,消费者,中南,5,2,4,11,3.6666666666666665,重要发展客户,重要客户
付荣-19690,2024-12-12,11,25243.456,18,付荣,消费者,华北,5,2,4,11,3.6666666666666665,重要发展客户,重要客户
付荣-19690,2024-12-12,11,25243.456,18,付荣,消费者,西南,5,2,4,11,3.6666666666666665,重要发展客户,重要客户
付霖-17515,2024-12-21,5,13717.704,9,付霖,公司,东北,5,1,2,8,2.6666666666666665,一般客户,普通客户
付霖-17515,2024-12-21,5,13717.704,9,付霖,公司,华东,5,1,2,8,2.6666666666666665,一般客户,普通客户
任临-17440,2024-12-10,10,11292.876,20,任临耀,公司,东北,5,2,2,9,3.0,一般客户,重要客户
任临-17440,2024-12-10,10,11292.876,20,任临耀,公司,华东,5,2,2,9,3.0,一般客户,重要客户
任婵-10795,2023-11-18,6,15655.22,408,任婵娟,公司,华北,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
任婵-10795,2023-11-18,6,15655.22,408,任婵娟,公司,东北,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
任婵-10810,2024-09-16,19,39359.74,105,任婵娟,公司,中南,3,4,5,12,4.0,重要保持客户,VIP客户
任婵-10810,2024-09-16,19,39359.74,105,任婵娟,公司,西北,3,4,5,12,4.0,重要保持客户,VIP客户
任婵-10810,2024-09-16,19,39359.74,105,任婵娟,公司,华东,3,4,5,12,4.0,重要保持客户,VIP客户
任婵-10810,2024-09-16,19,39359.74,105,任婵娟,公司,西南,3,4,5,12,4.0,重要保持客户,VIP客户
任婵-10810,2024-09-16,19,39359.74,105,任婵娟,公司,东北,3,4,5,12,4.0,重要保持客户,VIP客户
任实-20200,2024-04-13,15,40937.568,261,任实,消费者,华东,1,4,5,10,3.3333333333333335,一般客户,重要客户
任实-20200,2024-04-13,15,40937.568,261,任实,消费者,华北,1,4,5,10,3.3333333333333335,一般客户,重要客户
任实-20200,2024-04-13,15,40937.568,261,任实,消费者,西南,1,4,5,10,3.3333333333333335,一般客户,重要客户
任杰-14755,2024-05-04,13,23950.22,240,任杰,消费者,东北,1,3,4,8,2.6666666666666665,一般客户,普通客户
任杰-14755,2024-05-04,13,23950.22,240,任杰,消费者,华东,1,3,4,8,2.6666666666666665,一般客户,普通客户
任杰-14755,2024-05-04,13,23950.22,240,任杰,消费者,华北,1,3,4,8,2.6666666666666665,一般客户,普通客户
任杰-14755,2024-05-04,13,23950.22,240,任杰,消费者,西北,1,3,4,8,2.6666666666666665,一般客户,普通客户
任梅-18115,2024-09-30,12,16415.336,91,任梅,小型企业,中南,3,3,3,9,3.0,重要保持客户,重要客户
任梅-18115,2024-09-30,12,16415.336,91,任梅,小型企业,华北,3,3,3,9,3.0,重要保持客户,重要客户
任梅-18115,2024-09-30,12,16415.336,91,任梅,小型企业,西南,3,3,3,9,3.0,重要保持客户,重要客户
任梅-18115,2024-09-30,12,16415.336,91,任梅,小型企业,华东,3,3,3,9,3.0,重要保持客户,重要客户
任梅-18115,2024-09-30,12,16415.336,91,任梅,小型企业,西北,3,3,3,9,3.0,重要保持客户,重要客户
任灵-17560,2024-12-01,9,8835.708,29,任灵,小型企业,东北,4,2,1,7,2.3333333333333335,一般客户,普通客户
任灵-17560,2024-12-01,9,8835.708,29,任灵,小型企业,西北,4,2,1,7,2.3333333333333335,一般客户,普通客户
任灵-17560,2024-12-01,9,8835.708,29,任灵,小型企业,华北,4,2,1,7,2.3333333333333335,一般客户,普通客户
何娇-14650,2024-09-24,3,19325.488,97,何娇,公司,东北,3,1,3,7,2.3333333333333335,重要发展客户,普通客户
何娇-14650,2024-09-24,3,19325.488,97,何娇,公司,华东,3,1,3,7,2.3333333333333335,重要发展客户,普通客户
何娇-14650,2024-09-24,3,19325.488,97,何娇,公司,中南,3,1,3,7,2.3333333333333335,重要发展客户,普通客户
何安-10135,2024-11-06,11,12272.708,54,何安,小型企业,华东,4,2,2,8,2.6666666666666665,一般客户,普通客户
何安-10135,2024-11-06,11,12272.708,54,何安,小型企业,东北,4,2,2,8,2.6666666666666665,一般客户,普通客户
何安-10135,2024-11-06,11,12272.708,54,何安,小型企业,中南,4,2,2,8,2.6666666666666665,一般客户,普通客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,华东,5,5,5,15,5.0,高价值客户,VIP客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,华北,5,5,5,15,5.0,高价值客户,VIP客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,西北,5,5,5,15,5.0,高价值客户,VIP客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,中南,5,5,5,15,5.0,高价值客户,VIP客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,东北,5,5,5,15,5.0,高价值客户,VIP客户
何惠-14395,2024-12-19,32,68061.532,11,何惠,公司,西南,5,5,5,15,5.0,高价值客户,VIP客户
何晨-11140,2024-06-23,8,11083.212,190,何晨,消费者,华东,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何晨-11140,2024-06-23,8,11083.212,190,何晨,消费者,西南,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何晨-11140,2024-06-23,8,11083.212,190,何晨,消费者,中南,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何晨-11140,2024-06-23,8,11083.212,190,何晨,消费者,华北,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何根-13225,2024-09-17,9,29803.451999999997,104,何根基,公司,中南,3,2,4,9,3.0,重要发展客户,重要客户
何根-13225,2024-09-17,9,29803.451999999997,104,何根基,公司,东北,3,2,4,9,3.0,重要发展客户,重要客户
何根-13225,2024-09-17,9,29803.451999999997,104,何根基,公司,华东,3,2,4,9,3.0,重要发展客户,重要客户
何芯-13945,2024-07-14,6,11052.16,169,何芯,消费者,华北,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何芯-13945,2024-07-14,6,11052.16,169,何芯,消费者,中南,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何芯-13945,2024-07-14,6,11052.16,169,何芯,消费者,西南,2,1,2,5,1.6666666666666667,需挽留客户,低价值客户
何虢-13480,2023-10-10,9,2280.404,447,何虢,小型企业,中南,1,2,1,4,1.3333333333333333,需挽留客户,低价值客户
何虢-13480,2023-10-10,9,2280.404,447,何虢,小型企业,华北,1,2,1,4,1.3333333333333333,需挽留客户,低价值客户
何虢-13480,2023-10-10,9,2280.404,447,何虢,小型企业,华东,1,2,1,4,1.3333333333333333,需挽留客户,低价值客户
佘丽-15925,2024-07-17,8,21851.508,166,佘丽,消费者,西南,2,1,3,6,2.0,需挽留客户,普通客户
佘丽-15925,2024-07-17,8,21851.508,166,佘丽,消费者,华北,2,1,3,6,2.0,需挽留客户,普通客户
佘丽-15925,2024-07-17,8,21851.508,166,佘丽,消费者,中南,2,1,3,6,2.0,需挽留客户,普通客户
佘丽-15925,2024-07-17,8,21851.508,166,佘丽,消费者,东北,2,1,3,6,2.0,需挽留客户,普通客户
佘凤-12955,2024-11-23,19,38067.231999999996,37,佘凤,公司,中南,4,4,5,13,4.333333333333333,高价值客户,VIP客户
佘凤-12955,2024-11-23,19,38067.231999999996,37,佘凤,公司,华北,4,4,5,13,4.333333333333333,高价值客户,VIP客户
佘凤-12955,2024-11-23,19,38067.231999999996,37,佘凤,公司,华东,4,4,5,13,4.333333333333333,高价值客户,VIP客户
佘凤-12970,2024-12-30,9,19743.465,0,佘凤,公司,华北,5,2,3,10,3.3333333333333335,重要发展客户,重要客户
佘凤-12970,2024-12-30,9,19743.465,0,佘凤,公司,华东,5,2,3,10,3.3333333333333335,重要发展客户,重要客户
佘凤-12970,2024-12-30,9,19743.465,0,佘凤,公司,中南,5,2,3,10,3.3333333333333335,重要发展客户,重要客户
佘凤-12970,2024-12-30,9,19743.465,0,佘凤,公司,西南,5,2,3,10,3.3333333333333335,重要发展客户,重要客户
佘升-20170,2024-05-21,15,23859.388000000003,223,佘升,消费者,中南,1,4,4,9,3.0,一般客户,重要客户
佘升-20170,2024-05-21,15,23859.388000000003,223,佘升,消费者,华北,1,4,4,9,3.0,一般客户,重要客户
佘升-20170,2024-05-21,15,23859.388000000003,223,佘升,消费者,华东,1,4,4,9,3.0,一般客户,重要客户
佘宁-18730,2024-06-05,14,31795.064,208,佘宁,消费者,华东,2,3,4,9,3.0,一般客户,重要客户
佘宁-18730,2024-06-05,14,31795.064,208,佘宁,消费者,西南,2,3,4,9,3.0,一般客户,重要客户
佘宁-18730,2024-06-05,14,31795.064,208,佘宁,消费者,东北,2,3,4,9,3.0,一般客户,重要客户
佘巧-19480,2024-12-24,9,9639.84,6,佘巧,消费者,西南,5,2,1,8,2.6666666666666665,一般客户,普通客户
佘巧-19480,2024-12-24,9,9639.84,6,佘巧,消费者,华东,5,2,1,8,2.6666666666666665,一般客户,普通客户
佘巧-19480,2024-12-24,9,9639.84,6,佘巧,消费者,东北,5,2,1,8,2.6666666666666665,一般客户,普通客户
佘平-19165,2024-05-07,24,49782.348,237,佘平,消费者,西南,1,5,5,11,3.6666666666666665,一般客户,重要客户
佘平-19165,2024-05-07,24,49782.348,237,佘平,消费者,华东,1,5,5,11,3.6666666666666665,一般客户,重要客户
佘平-19165,2024-05-07,24,49782.348,237,佘平,消费者,中南,1,5,5,11,3.6666666666666665,一般客户,重要客户
佘平-19165,2024-05-07,24,49782.348,237,佘平,消费者,东北,1,5,5,11,3.6666666666666665,一般客户,重要客户
佘彩-10735,2024-07-09,7,3535.84,174,佘彩,消费者,东北,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佘彩-10735,2024-07-09,7,3535.84,174,佘彩,消费者,西南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佘彩-10735,2024-07-09,7,3535.84,174,佘彩,消费者,中南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佘彩-10735,2024-07-09,7,3535.84,174,佘彩,消费者,华北,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佘莲-17050,2024-06-26,10,30386.496,187,佘莲,消费者,华北,2,2,4,8,2.6666666666666665,需挽留客户,普通客户
佘莲-17050,2024-06-26,10,30386.496,187,佘莲,消费者,中南,2,2,4,8,2.6666666666666665,需挽留客户,普通客户
佘莲-17050,2024-06-26,10,30386.496,187,佘莲,消费者,西北,2,2,4,8,2.6666666666666665,需挽留客户,普通客户
佘莲-17050,2024-06-26,10,30386.496,187,佘莲,消费者,华东,2,2,4,8,2.6666666666666665,需挽留客户,普通客户
佘虢-13555,2024-06-03,7,36264.928,210,佘虢,公司,华东,2,1,5,8,2.6666666666666665,需挽留客户,普通客户
佘虢-13555,2024-06-03,7,36264.928,210,佘虢,公司,中南,2,1,5,8,2.6666666666666665,需挽留客户,普通客户
余丽-16540,2023-12-31,12,20986.532,365,余丽娜,消费者,西北,1,3,3,7,2.3333333333333335,一般客户,普通客户
余丽-16540,2023-12-31,12,20986.532,365,余丽娜,消费者,华东,1,3,3,7,2.3333333333333335,一般客户,普通客户
余丽-16540,2023-12-31,12,20986.532,365,余丽娜,消费者,中南,1,3,3,7,2.3333333333333335,一般客户,普通客户
余凤-13060,2024-10-27,16,27805.666,64,余凤,消费者,华北,3,4,4,11,3.6666666666666665,重要保持客户,重要客户
余凤-13060,2024-10-27,16,27805.666,64,余凤,消费者,华东,3,4,4,11,3.6666666666666665,重要保持客户,重要客户
余凤-13060,2024-10-27,16,27805.666,64,余凤,消费者,东北,3,4,4,11,3.6666666666666665,重要保持客户,重要客户
余凤-13060,2024-10-27,16,27805.666,64,余凤,消费者,中南,3,4,4,11,3.6666666666666665,重要保持客户,重要客户
余婵-11020,2024-12-28,28,27079.024,2,余婵,公司,东北,5,5,4,14,4.666666666666667,高价值客户,VIP客户
余婵-11020,2024-12-28,28,27079.024,2,余婵,公司,华东,5,5,4,14,4.666666666666667,高价值客户,VIP客户
余婵-11020,2024-12-28,28,27079.024,2,余婵,公司,中南,5,5,4,14,4.666666666666667,高价值客户,VIP客户
余婵-11020,2024-12-28,28,27079.024,2,余婵,公司,华北,5,5,4,14,4.666666666666667,高价值客户,VIP客户
余嫒-10075,2024-08-11,20,26449.724000000002,141,余嫒,公司,华东,2,5,4,11,3.6666666666666665,一般客户,重要客户
余嫒-10075,2024-08-11,20,26449.724000000002,141,余嫒,公司,西南,2,5,4,11,3.6666666666666665,一般客户,重要客户
余嫒-10075,2024-08-11,20,26449.724000000002,141,余嫒,公司,华北,2,5,4,11,3.6666666666666665,一般客户,重要客户
余嫒-10075,2024-08-11,20,26449.724000000002,141,余嫒,公司,东北,2,5,4,11,3.6666666666666665,一般客户,重要客户
余嫒-10075,2024-08-11,20,26449.724000000002,141,余嫒,公司,中南,2,5,4,11,3.6666666666666665,一般客户,重要客户
余德-12100,2024-03-09,15,14008.624,296,余德,小型企业,华东,1,4,2,7,2.3333333333333335,一般客户,普通客户
余德-12100,2024-03-09,15,14008.624,296,余德,小型企业,东北,1,4,2,7,2.3333333333333335,一般客户,普通客户
余德-12100,2024-03-09,15,14008.624,296,余德,小型企业,中南,1,4,2,7,2.3333333333333335,一般客户,普通客户
余晨-11230,2024-04-30,8,25996.516,244,余晨,消费者,中南,1,1,4,6,2.0,需挽留客户,普通客户
余晨-11230,2024-04-30,8,25996.516,244,余晨,消费者,华东,1,1,4,6,2.0,需挽留客户,普通客户
余毅-12535,2024-12-03,19,11488.596,27,余毅,公司,东北,4,4,2,10,3.3333333333333335,一般客户,重要客户
余毅-12535,2024-12-03,19,11488.596,27,余毅,公司,中南,4,4,2,10,3.3333333333333335,一般客户,重要客户
余毅-12535,2024-12-03,19,11488.596,27,余毅,公司,华东,4,4,2,10,3.3333333333333335,一般客户,重要客户
余毅-12535,2024-12-03,19,11488.596,27,余毅,公司,西南,4,4,2,10,3.3333333333333335,一般客户,重要客户
余舟-11455,2024-06-15,12,15513.288,198,余舟,小型企业,东北,2,3,2,7,2.3333333333333335,一般客户,普通客户
余舟-11455,2024-06-15,12,15513.288,198,余舟,小型企业,华北,2,3,2,7,2.3333333333333335,一般客户,普通客户
余舟-11455,2024-06-15,12,15513.288,198,余舟,小型企业,西南,2,3,2,7,2.3333333333333335,一般客户,普通客户
余舟-11455,2024-06-15,12,15513.288,198,余舟,小型企业,中南,2,3,2,7,2.3333333333333335,一般客户,普通客户
余舟-11455,2024-06-15,12,15513.288,198,余舟,小型企业,华东,2,3,2,7,2.3333333333333335,一般客户,普通客户
余雯-21835,2023-12-11,8,12532.744,385,余雯,消费者,华东,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
余雯-21835,2023-12-11,8,12532.744,385,余雯,消费者,东北,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
余雯-21835,2023-12-11,8,12532.744,385,余雯,消费者,中南,1,1,2,4,1.3333333333333333,需挽留客户,低价值客户
佟丽-16525,2024-08-11,8,9636.34,141,佟丽娜,消费者,中南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佟丽-16525,2024-08-11,8,9636.34,141,佟丽娜,消费者,东北,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佟丽-16525,2024-08-11,8,9636.34,141,佟丽娜,消费者,华东,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
佟崆-15550,2024-08-27,14,22425.311999999998,125,佟崆,小型企业,华北,2,3,3,8,2.6666666666666665,一般客户,普通客户
佟崆-15550,2024-08-27,14,22425.311999999998,125,佟崆,小型企业,东北,2,3,3,8,2.6666666666666665,一般客户,普通客户
佟崆-15550,2024-08-27,14,22425.311999999998,125,佟崆,小型企业,华东,2,3,3,8,2.6666666666666665,一般客户,普通客户
佟崆-15550,2024-08-27,14,22425.311999999998,125,佟崆,小型企业,西南,2,3,3,8,2.6666666666666665,一般客户,普通客户
佟斯-21025,2022-11-07,7,6289.5,784,佟斯云,小型企业,东北,1,1,1,3,1.0,需挽留客户,低价值客户
佟斯-21025,2022-11-07,7,6289.5,784,佟斯云,小型企业,中南,1,1,1,3,1.0,需挽留客户,低价值客户
佟斯-21025,2022-11-07,7,6289.5,784,佟斯云,小型企业,华东,1,1,1,3,1.0,需挽留客户,低价值客户
佟虹-13885,2024-10-30,12,9414.019999999999,61,佟虹,小型企业,华东,4,3,1,8,2.6666666666666665,一般客户,普通客户
